HospitalName,City,State,HospitalOwner,Condition,MeasureCode,MeasureName,Score,Sample,EmergencyService
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0.68,25,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0.88,8,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,1,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,no
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,2,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
southwest alabama medical center,thomasville,al,government - federal,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,2,yes
wedowee hospital,wedowee,al,government - local,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,0,no
northwest medical center,winfield,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0,1,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.83,36,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,no
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.87,15,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.98,47,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.85,48,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.72,40,yes
elba general hospital,elba,al,voluntary non-profit - other,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.98,61,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.4,5,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.83,12,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,1,16,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.82,44,yes
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.5,16,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.4,15,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.96,27,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.85,26,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,no
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
southwest alabama medical center,thomasville,al,government - federal,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
wedowee hospital,wedowee,al,government - local,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,no
northwest medical center,winfield,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0,0,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart failure,hf-1,heart failure patients given discharge instructions,0.86,210,yes
alaska regional hospital,anchorage,ak,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.91,57,yes
andalusia regional hospital,andalusia,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,1,121,no
stringfellow memorial hospital,anniston,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.87,142,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.94,316,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.78,110,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.83,35,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.84,19,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.99,158,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.78,455,yes
elba general hospital,elba,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,1,2,yes
medical center enterprise,enterprise,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.96,70,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,0.87,67,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,0.79,217,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart failure,hf-1,heart failure patients given discharge instructions,0.89,76,yes
gadsden regional medical center,gadsden,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.47,211,yes
riverview regional medical center,gadsden,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,1,268,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.53,51,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.93,55,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.74,38,yes
hartselle medical center,hartselle,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.97,35,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.72,264,yes
crenshaw community hospital,luverne,al,government - federal,heart failure,hf-1,heart failure patients given discharge instructions,0.04,26,yes
univ of south alabama medical center,mobile,al,government - state,heart failure,hf-1,heart failure patients given discharge instructions,0.83,146,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart failure,hf-1,heart failure patients given discharge instructions,1,259,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.45,430,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.5,24,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.82,527,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.98,59,no
dale medical center,ozark,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.66,79,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.96,75,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.8,114,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,0.77,78,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.91,65,yes
southwest alabama medical center,thomasville,al,government - federal,heart failure,hf-1,heart failure patients given discharge instructions,1,79,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,0.54,137,yes
wedowee hospital,wedowee,al,government - local,heart failure,hf-1,heart failure patients given discharge instructions,0,34,no
northwest medical center,winfield,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.9,48,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,246,yes
alaska regional hospital,anchorage,ak,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.98,61,yes
andalusia regional hospital,andalusia,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.91,139,no
stringfellow memorial hospital,anniston,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,157,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.98,372,yes
university of alabama hospital,birmingham,al,government - state,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.96,681,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99,160,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.94,48,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.89,28,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,200,yes
flowers hospital,dothan,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,342,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99,514,yes
elba general hospital,elba,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,3,yes
medical center enterprise,enterprise,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99,82,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.94,85,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.97,259,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,94,yes
gadsden regional medical center,gadsden,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,259,yes
riverview regional medical center,gadsden,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,350,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.63,59,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.84,80,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.8,46,yes
hartselle medical center,hartselle,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.98,42,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.95,303,yes
crenshaw community hospital,luverne,al,government - federal,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.72,39,yes
univ of south alabama medical center,mobile,al,government - state,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.98,150,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,292,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.9,518,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.85,34,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,570,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.87,76,no
dale medical center,ozark,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.96,94,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.94,93,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99,149,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99,105,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,87,yes
southwest alabama medical center,thomasville,al,government - federal,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.89,91,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99,164,yes
wedowee hospital,wedowee,al,government - local,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.38,39,no
northwest medical center,winfield,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1,59,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.97,71,yes
alaska regional hospital,anchorage,ak,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,33,yes
andalusia regional hospital,andalusia,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.86,21,no
stringfellow memorial hospital,anniston,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.9,49,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.98,130,yes
university of alabama hospital,birmingham,al,government - state,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.94,343,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.9,69,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.9,10,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.75,4,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.97,37,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.91,165,yes
flowers hospital,dothan,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,94,yes
elba general hospital,elba,al,voluntary non-profit - other,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0,0,yes
medical center enterprise,enterprise,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,34,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.89,19,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.82,84,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.94,36,yes
gadsden regional medical center,gadsden,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.93,69,yes
riverview regional medical center,gadsden,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,90,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.67,6,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.78,27,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.78,18,yes
hartselle medical center,hartselle,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,10,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.98,102,yes
crenshaw community hospital,luverne,al,government - federal,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.75,8,yes
univ of south alabama medical center,mobile,al,government - state,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.96,84,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.85,146,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,98,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,7,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.92,272,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.64,14,no
dale medical center,ozark,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.94,18,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.94,18,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.92,39,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.85,46,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1,30,yes
southwest alabama medical center,thomasville,al,government - federal,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.88,25,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.96,75,yes
wedowee hospital,wedowee,al,government - local,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.25,4,no
northwest medical center,winfield,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.85,13,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,48,yes
alaska regional hospital,anchorage,ak,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,13,yes
andalusia regional hospital,andalusia,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,32,no
stringfellow memorial hospital,anniston,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,41,yes
university of alabama hospital,birmingham,al,government - state,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,130,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,69,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0.94,34,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,15,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,4,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,42,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,110,yes
flowers hospital,dothan,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,62,yes
elba general hospital,elba,al,voluntary non-profit - other,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0,0,yes
medical center enterprise,enterprise,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,15,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,16,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,53,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,15,yes
gadsden regional medical center,gadsden,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,70,yes
riverview regional medical center,gadsden,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,85,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0.75,8,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,10,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0.8,10,yes
