DBA_Name,Facility_Type,Risk,Address,State,Zip,Inspection_Type,Latitude,Longitude,Results
7-ELEVEN,Grocery Store,Risk 2 (Medium),3401 W IRVING PARK RD ,IL,60618.0,Canvass,41.95374618680847,-87.71296312564161,Fail
CUDDLE CARE,Daycare Above and Under 2 Years,Risk 1 (High),4800 S LAKE PARK AVE ,IL,60615.0,Canvass,41.80792179224785,-87.59069310909918,Pass
RED HEN BREAD,Restaurant,Risk 3 (Low),1623 N MILWAUKEE AVE ,IL,60647.0,Canvass Re-Inspection,41.91098004283084,-87.67817136935753,Pass
CULTURE,Mobile Food Dispenser,Risk 2 (Medium),2637 S THROOP ST FL ,IL,60608.0,License,41.84467072147078,-87.65496222414579,Fail
LEVY RESTAURANTS AT WRIGLEY FIELD,Restaurant,Risk 2 (Medium),1060 W ADDISON ST ,IL,60613.0,Consultation,41.94731748901496,-87.65641794764645,Pass w/ Conditions
ROSE-RIDGE FOODS,Grocery Store,Risk 2 (Medium),10500 S MICHIGAN AVE ,IL,60628.0,Canvass,41.703415218678,-87.62080967911609,Pass w/ Conditions
SUBWAY,Restaurant,Risk 1 (High),1611 W HARRISON ST ,IL,60612.0,Complaint,41.874081988696005,-87.66722275934995,Pass
79TH ST MINI MART,Grocery Store,Risk 2 (Medium),533 E 79TH ST ,IL,60619.0,License,41.75107097352686,-87.61122848785296,Fail
STARBUCKS COFFEE #2201,Restaurant,Risk 2 (Medium),1023  -01025 W ADDISON ST ,IL,60613.0,Canvass,41.9471189595757,-87.65530245115706,Pass
CHICKPEA DELIGHTS,Mobile Food Dispenser,Risk 3 (Low),324 N LEAVITT ST ,IL,60612.0,License,41.88743405025222,-87.68184949426895,Fail
FRESHII,Restaurant,Risk 1 (High),311 S WACKER DR ,IL,60606.0,Canvass,41.877791648104406,-87.63652434443534,Pass w/ Conditions
RED HEN BREAD,Restaurant,Risk 3 (Low),1623 N MILWAUKEE AVE ,IL,60647.0,Tag Removal,41.91098004283084,-87.67817136935753,Pass
ROSY'S BAKERY,Bakery,Risk 2 (Medium),3237 W 26TH ST ,IL,60623.0,Canvass Re-Inspection,41.844389255307725,-87.70640583702438,Pass
HANA RESTAURANT,Restaurant,Risk 1 (High),6803 N SHERIDAN RD ,IL,60626.0,Canvass Re-Inspection,42.00568707320046,-87.66080017921671,Pass
LULU'S,Grocery Store,Risk 3 (Low),2401 S RIDGEWAY AVE ,IL,60623.0,License,41.84790935651568,-87.71840566533285,Fail
SURF CITY SQUEEZE,Restaurant,Risk 2 (Medium),444 W JACKSON BLVD ,IL,60606.0,Canvass,41.87815537704807,-87.63949995628163,Pass
DELA LUZ SUPERMERCADO,Grocery Store,Risk 1 (High),4400 S HONORE ST ,IL,60609.0,Canvass Re-Inspection,41.81391135944083,-87.67132698995245,Pass
All Style Buffet,Restaurant,Risk 1 (High),4305 S Pulaski RD ,IL,60632.0,Canvass,41.81499360294308,-87.72370769529371,Fail
GREEK ISLANDS RESTAURANT,Restaurant,Risk 1 (High),200 S HALSTED ST ,IL,60661.0,Short Form Complaint,41.87918309269135,-87.64742623446782,Pass
SAGINAW RESTAURANT & FOOD,Restaurant,Risk 1 (High),2642 E 130TH ST ,IL,60633.0,Complaint,41.65931652426195,-87.55881048260055,Fail
CERMAK PRODUCE,Grocery Store,Risk 1 (High),5220 S PULASKI RD ,IL,60632.0,Complaint,41.79799186996223,-87.723443740796,Fail
MCDONALD'S,Restaurant,Risk 2 (Medium),2609 S KEDZIE AVE ,IL,60623.0,Complaint Re-Inspection,41.84420224098303,-87.7048869943916,Fail
New Polonia Club Inc.,Restaurant,Risk 1 (High),6101-6103 W BELMONT AVE ,IL,60634.0,Canvass,41.93830438210933,-87.77876302555978,Pass
GRACE AFRICAN RESTAURANT,Restaurant,Risk 1 (High),4409 N BROADWAY ,IL,60640.0,Canvass,41.96210413223746,-87.65520382960335,Fail
GRANNY B'S,Restaurant,Risk 1 (High),2632 W 71ST ST ,IL,60629.0,Complaint,41.76470633763237,-87.68942413586029,Fail
CAFE MED,Restaurant,Risk 1 (High),198 E DELAWARE PL ,IL,60611.0,Canvass Re-Inspection,41.89935173506942,-87.62198690644684,Pass
SALUTE WINEBAR,Restaurant,Risk 1 (High),46 E SUPERIOR ST ,IL,60611.0,Suspected Food Poisoning Re-inspection,41.89581575920819,-87.62641646011672,Pass
"THE HEARTY BOYS CATERERS, INC.",Restaurant,Risk 1 (High),3819 N BROADWAY ,IL,60613.0,Tag Removal,41.9518007595584,-87.64947747658744,Pass
FRANCISCO POLLO VIVO,SLAUGHTER HOUSE/ GROCERY,Risk 2 (Medium),3752 S ASHLAND AVE ,IL,60609.0,Complaint,41.82525518173788,-87.66572756993533,Fail
POPEYE'S FRIED CHICKEN,Restaurant,Risk 1 (High),300 E 35TH ST ,IL,60616.0,Suspected Food Poisoning Re-inspection,41.83119240873837,-87.61928919948132,Pass
LAO HUNAN CHINESE RESTAURANT,Restaurant,Risk 1 (High),2230 S WENTWORTH AVE ,IL,60616.0,License,41.85201042801985,-87.63214186708235,Fail
CARNICERIA AGUASCALIENTES,Grocery Store,Risk 1 (High),3132 W 26TH ST ,IL,60623.0,Complaint Re-Inspection,41.84464000358168,-87.70387454997126,Fail
BUFFET CITY,Restaurant,Risk 1 (High),7010 S PULASKI RD ,IL,60629.0,Canvass Re-Inspection,41.765584219649504,-87.72258228620703,Pass
DUNKIN DONUTS,Restaurant,Risk 2 (Medium),2340 W 52ND ST ,IL,60609.0,Short Form Complaint,41.79893753637153,-87.68351638236892,Pass
PAKEEZA,Restaurant,Risk 1 (High),1009-1011 N ORLEANS ST ,IL,60610.0,Complaint,41.9008277108542,-87.63718892231834,Fail
"GIFTED CHILDREN ACADEMY, INC.",Daycare Combo 1586,Risk 1 (High),1520-1524 W HOWARD ST ,IL,60626.0,License-Task Force,42.0194729200876,-87.66917452134184,Fail
KRAKUS HOME MADE SAUSAGE,Grocery Store,Risk 1 (High),4772 N MILWAUKEE AVE ,IL,60630.0,Canvass,41.96731828760242,-87.7604390739066,Pass
MCDONALDS #7463,Restaurant,Risk 2 (Medium),1400 S LAKE SHORE DR ,IL,60605.0,Canvass,41.864035639813686,-87.61929706919213,Pass
"SPRINKLES CUPCAKES IL, LLC",Bakery,Risk 2 (Medium),50 E WALTON ST ,IL,60611.0,Canvass,41.90008026078985,-87.62639928428314,Pass
DUNKIN DONUTS,Restaurant,Risk 2 (Medium),203 N LA SALLE ST ,IL,60601.0,Canvass,41.88582204785303,-87.63230373508569,Pass
DAATA DARBAR RESTAURENT,Restaurant,Risk 1 (High),2306 W DEVON AVE ,IL,60659.0,Canvass Re-Inspection,41.99787636318572,-87.6877635508729,Pass
PIZANO'S PIZZA & PASTA,Restaurant,Risk 1 (High),864 N STATE ST ,IL,60610.0,Canvass,41.89857770509812,-87.62839827393353,Fail
FLINTSTONE SMOKEPIT BBQ,Restaurant,Risk 1 (High),6636-6638 S COTTAGE GROVE AVE ,IL,60637.0,License,41.77385190518126,-87.60593404788045,Fail
SUBWAY,Restaurant,Risk 1 (High),5901 S ARCHER AVE ,IL,60638.0,Canvass,41.79551639442828,-87.76292466014908,Pass
VIRGINIA FRANK CHILD DEVELOPEMENT CENTER,Daycare (2 - 6 Years),Risk 1 (High),3033 W TOUHY AVE ,IL,60645.0,Canvass,42.01182364345758,-87.70574432654881,Pass
LA BOCCA,Restaurant,Risk 1 (High),4618 N LINCOLN AVE ,IL,60625.0,Complaint,41.96536037797817,-87.68657717232334,Fail
WINDY CITY INC,Grocery Store,Risk 2 (Medium),324-326 S CICERO AVE ,IL,60644.0,Canvass,41.87594435544517,-87.74525022754239,Fail
BRIDGEPORT FAMILY RESTAURANT,Restaurant,Risk 1 (High),3500 S HALSTED ST ,IL,60609.0,Suspected Food Poisoning,41.83069533520227,-87.64625091576728,Pass
YUMMY BURGER,Restaurant,Risk 2 (Medium),144 E 127TH ST ,IL,60628.0,License,41.663478016578544,-87.61822174729889,Fail
SWEDISH COVENANT HOSPITAL CCC,Daycare Above and Under 2 Years,Risk 1 (High),2824 W WINONA ST ,IL,60625.0,License,41.974866504657065,-87.69987787644459,Pass
ELEVEN CITY DINER,Restaurant,Risk 1 (High),1112 S WABASH AVE ,IL,60605.0,Complaint,41.86883410488159,-87.6260089504118,Pass
MORTON'S STEAKHOUSE-WACKER PLACE,Restaurant,Risk 1 (High),65 E WACKER PL ,IL,60601.0,Canvass,41.88670423024932,-87.6254963741073,Pass
Custom House,Restaurant,Risk 1 (High),500 S DEARBORN ST ,IL,60605.0,Canvass,41.875569109604456,-87.62938322586832,Fail
SUBWAY,Restaurant,Risk 1 (High),808 W 87TH ST ,IL,60620.0,Canvass,41.73617770759474,-87.64406634865368,Pass
LIMELIGHT,Catering,Risk 1 (High),2000 N RACINE AVE ,IL,60614.0,Canvass,41.918121808343685,-87.65836932490788,Pass w/ Conditions
NICKY'S GRILL & YOGURT OASIS,Restaurant,Risk 1 (High),10255 S WESTERN AVE ,IL,60643.0,Complaint,41.70658293299433,-87.68148089347169,Pass w/ Conditions
PALETERIA EL SABOR DE MICHOACAN INC.,Restaurant,Risk 1 (High),2456 W 47TH ST ,IL,60632.0,Canvass,41.80851466410598,-87.68648786144873,Pass
MI MEXICO GROCERY,Grocery Store,Risk 2 (Medium),2601 W 59TH ST ,IL,60629.0,Canvass,41.7863763432096,-87.68877651402563,Fail
NEW CHINA EXPRESS,Restaurant,Risk 1 (High),720 E 87TH ST ,IL,60619.0,Complaint,41.73673588530545,-87.60641798187538,Fail
PETE'S  PIZZA & BAKEHOUSE,Restaurant,Risk 1 (High),1100 W GRANVILLE AVE ,IL,60660.0,License,41.99468520051629,-87.65839813231939,Fail
DUNKIN DONUTS,Restaurant,Risk 2 (Medium),5000 W IRVING PARK RD ,IL,60641.0,Canvass,41.95346817003143,-87.75230593409376,Fail
EDWARDO'S NATURAL PIZZA RESTAURANT,Restaurant,Risk 1 (High),521 S DEARBORN ST ,IL,60605.0,Canvass,41.87523755678771,-87.62907784469319,Pass
PETE'S PLACE,Restaurant,Risk 1 (High),3159 W VAN BUREN ST ,IL,60612.0,Canvass,41.87576696598842,-87.7058476252792,Pass
WRIGHT EARLY CARE & LEARNING CENTER,Daycare Above and Under 2 Years,Risk 1 (High),532 W 95TH ST ,IL,60628.0,License,41.72165071815577,-87.63721721335074,Pass
EINSTEIN BROS. BAGELS # 1200,Restaurant,Risk 1 (High),1549 N WELLS ST ,IL,60610.0,Canvass,41.910572111162736,-87.63454539156992,Pass w/ Conditions
SUBWAY,Restaurant,Risk 1 (High),1656 W 119TH ST ,IL,60643.0,Canvass,41.67761612849284,-87.66316025686356,Pass
DOMINICK'S # 12/0012,Grocery Store,Risk 1 (High),6009 N BROADWAY ,IL,60660.0,Complaint,41.9911817534467,-87.66015508322359,Fail
FULLERTON GROCERY,Grocery Store,Risk 3 (Low),5424 W FULLERTON AVE ,IL,60639.0,Complaint,41.92413929105782,-87.76207926510892,Fail
LA PERLA MIXTECA RESTAURANT,Restaurant,Risk 1 (High),2455 S KEDZIE AVE ,IL,60623.0,Canvass Re-Inspection,41.84653888899148,-87.70495285575998,Fail
ISLAND CAFE SALAD & JUICE BAR,Restaurant,Risk 2 (Medium),330 E 75TH ST ,IL,60619.0,License,41.75848460930127,-87.61695668675385,Fail
"CITY GARDEN EARLY CHILDHOOD CENTER, INC.",Daycare (2 - 6 Years),Risk 1 (High),920 W 19TH ST ,IL,60608.0,Canvass,41.856803461584015,-87.64907959485866,Pass
BURRITO BEACH,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,IL,60666.0,Canvass Re-Inspection,42.00875076599798,-87.9068741340011,Pass
HILTON GARDEN INN - CHICAGO,Restaurant,Risk 1 (High),10 E GRAND AVE ,IL,60611.0,Complaint-Fire,41.8917914631124,-87.62765774119987,Pass
NICKY'S HOT DOGS,Restaurant,Risk 2 (Medium),3140 W 47TH ST ,IL,60632.0,Canvass,41.80824449155079,-87.70316885960831,Pass
DINO & NICK,Restaurant,Risk 1 (High),2035 N PULASKI RD ,IL,60639.0,Complaint Re-Inspection,41.918244845012296,-87.72644695954227,Pass w/ Conditions
REGGIO'S PIZZA EXPRESS,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,IL,60666.0,Canvass,42.00875076599798,-87.9068741340011,Pass
PLAZA FOOD & LIQUOR,Grocery Store,Risk 3 (Low),3459 W OGDEN AVE ,IL,60623.0,Canvass,41.85526590922669,-87.71240156240032,Pass w/ Conditions
HUARACHES DONA CHIO,Restaurant,Risk 1 (High),1547 W ELMDALE AVE ,IL,60660.0,Complaint Re-Inspection,41.99069506671995,-87.66944917569923,Pass
SAM'S CHICKEN & RIBS,Restaurant,Risk 1 (High),1102 W GRANVILLE AVE ,IL,60660.0,Complaint Re-Inspection,41.99468413299884,-87.65847729070059,Pass w/ Conditions
MCDONALD'S #4305,Restaurant,Risk 2 (Medium),4844 N LINCOLN AVE ,IL,60625.0,Short Form Complaint,41.96975372057437,-87.68940343670431,Fail
R U HUNGRY?,Restaurant,Risk 1 (High),1724 W 51st ST ,IL,60609.0,Canvass,41.80139599557943,-87.66836713634459,Pass w/ Conditions
DAIRY QUEEN LINCOLN PARK,Restaurant,Risk 2 (Medium),2200 N LINCOLN AVE ,IL,60614.0,License,41.92189699908295,-87.64401334594686,Fail
THE NORTHERN TRUST CHILD CARE CENTER,Daycare Above and Under 2 Years,Risk 1 (High),801 S CANAL ST ,IL,60607.0,Canvass,41.8719961299128,-87.63920429168549,Pass
REGENCY INN,BANQUET,Risk 1 (High),5319 W DIVERSEY AVE ,IL,60639.0,Complaint,41.931248724626094,-87.75968066162403,Fail
PEPE'S MEXICAN RESTAURANT OF SOUTH CHICAGO,Restaurant,Risk 1 (High),2014-2024 E 87TH ST ,IL,60617.0,License,41.73717523061693,-87.57507779056931,Fail
CHALK OF LAKESHORE EAST,Daycare (2 - 6 Years),Risk 1 (High),360 E SOUTH WATER ST ,IL,60601.0,License Re-Inspection,41.88661753412504,-87.6186716725787,Pass
"FOOD LIFE/LETTUCE OFF PREM, CA",Restaurant,Risk 1 (High),835 N MICHIGAN AVE ,IL,60611.0,Canvass Re-Inspection,41.8977408562525,-87.62396131598219,Pass
BONY'S FOOD MART,Grocery Store,Risk 3 (Low),1942 S CARPENTER ST ,IL,60608.0,License,41.85527879701619,-87.65327978679655,Fail
SUPERIOR FOOD MART,Grocery Store,Risk 3 (Low),5723 N CALIFORNIA AVE ,IL,60659.0,Canvass,41.98571758747685,-87.6990964296331,Pass
MACY'S,Restaurant,Risk 2 (Medium),111 N STATE ST ,IL,60602.0,Canvass,41.88347312241303,-87.62772975002919,Pass
"TAQUERIA LOS PORTALES, INC.",Restaurant,Risk 1 (High),1418 W MORSE AVE ,IL,60626.0,Canvass Re-Inspection,42.00800274400415,-87.66671915954683,Pass
SAM FOOD MART INC,Grocery Store,Risk 2 (Medium),1438 W 103RD ST ,IL,60643.0,Canvass,41.70685453314811,-87.65880171647812,Pass
KABUKI RESTAURANT,Restaurant,Risk 1 (High),2473 N CLARK ST ,IL,60614.0,License-Task Force,41.927477726852224,-87.64144977590252,Fail
SOFITEL CHICAGO WATER TOWER,Restaurant,Risk 1 (High),20 E CHESTNUT ST ,IL,60611.0,Canvass,41.89844463667514,-87.62740563976503,Fail
TAQUERIA EL RANCHITO,Restaurant,Risk 1 (High),2829 N MILWAUKEE AVE ,IL,60618.0,Complaint,41.932656936605575,-87.71305610116421,Fail
LAESPIGA DE ORO BAKERY,Bakery,Risk 2 (Medium),2456-2458 S DRAKE AVE ,IL,60623.0,Short Form Complaint,41.84637296963218,-87.71377080825256,Fail
CLARKE'S ON LINCOLN,Restaurant,Risk 1 (High),2441-2445 N LINCOLN AVE ,IL,60614.0,Canvass,41.92640347992657,-87.64988949440044,Fail
STICKY RICE,Restaurant,Risk 1 (High),4018 N WESTERN AVE ,IL,60618.0,Complaint,41.954631107192654,-87.68863080861864,Fail
KENTUCKY FRIED CHICKEN 521053,Restaurant,Risk 1 (High),4756 S KEDZIE AVE ,IL,60632.0,Canvass Re-Inspection,41.80646042607994,-87.7040748123394,Pass
"Supermercado  Castillos, Inc",Grocery Store,Risk 2 (Medium),2732 W 59TH ST ,IL,60629.0,Tag Removal,41.78653601978693,-87.69244039932887,Pass
FLOURISH BAKERY CAFE,Restaurant,Risk 1 (High),1138 W BRYN MAWR AVE ,IL,60660.0,Canvass,41.98373915183195,-87.6596467294027,Fail
FAT EDDIE'S EMPLOYEE CAFETERIA,Restaurant,Risk 1 (High),151 E WACKER DR ,IL,60601.0,Canvass,41.887999887348535,-87.62256513255957,Pass
LITTLE ANGELS DAY CARE CENTER,Daycare Above and Under 2 Years,Risk 1 (High),6407 N MAPLEWOOD AVE ,IL,60645.0,Canvass,41.99793024612749,-87.69340444679487,Pass
"NEW AGE CHILDREN'S PREPARATORY ACADEMY, INC.",Children's Services Facility,Risk 1 (High),8938-8948 S COTTAGE GROVE AVE ,IL,60619.0,License,41.73185210877985,-87.60485274319225,Pass
Food 4 Less #570,Grocery Store,Risk 1 (High),112 W 87TH ST ,IL,60620.0,Complaint,41.73638004558818,-87.62750921902565,Fail
NAVEEN'S  CUISINE,Restaurant,Risk 1 (High),2325 W NORTH AVE ,IL,60647.0,Canvass,41.91023000926717,-87.6858503668328,Pass
HELEN LUCY CHILD CARE INC.,Daycare Combo 1586,Risk 1 (High),5801 N NORTHWEST HWY ,IL,60631.0,Canvass,41.98703322680841,-87.78938143174635,Pass
"Supermercado  Castillos, Inc",Grocery Store,Risk 2 (Medium),2732 W 59TH ST ,IL,60629.0,Canvass,41.78653601978693,-87.69244039932887,Pass w/ Conditions
CATERING OUT THE BOX,Catering,Risk 1 (High),2443 W 16TH ST ,IL,60608.0,License,41.8592316631709,-87.68748555402212,Fail
TAQUERIA LA CHIQUITA,Restaurant,Risk 1 (High),2635 S PULASKI RD ,IL,60623.0,Canvass,41.8431912529993,-87.72437351153951,Fail
SUPERMERCADO LA CHIQUITA #4,Grocery Store,Risk 1 (High),2623-2659 S PULASKI RD ,IL,60623.0,Complaint,41.84353489132139,-87.72438217939293,Fail
KMART #3371,Restaurant,Risk 2 (Medium),3443 W ADDISON ST ,IL,60618.0,Complaint,41.946429559095655,-87.71443723839212,Fail
MCDONALD'S,Restaurant,Risk 2 (Medium),4048 W MADISON ST ,IL,60624.0,Complaint-Fire,41.8808120522647,-87.72761977904871,Fail
FINEST FOOD BASKET INC,Grocery Store,Risk 2 (Medium),6100 S DR MARTIN LUTHER KING JR DR ,IL,60637.0,Complaint,41.78379147407769,-87.6158576657317,Fail
CHUCKIE'S,Restaurant,Risk 2 (Medium),1412 W MORSE AVE ,IL,60626.0,Canvass,42.0080066687647,-87.66649164998036,Fail
"A&K FOOD MARKET, INC.",Grocery Store,Risk 2 (Medium),8240 S COTTAGE GROVE AVE ,IL,60619.0,Complaint Re-Inspection,41.74456966035583,-87.6051967898045,Fail
METROPOLITAN CLUB,Restaurant,Risk 1 (High),233 S WACKER DR ,IL,60606.0,Canvass,41.87856015362371,-87.63652387205532,Fail
BURGER BARON,Restaurant,Risk 1 (High),1381 W GRAND AVE ,IL,60642.0,Complaint,41.89091932924197,-87.66218858298453,Pass
ROCKY MOUNTAIN CHOCOLATE FACTORY,Restaurant,Risk 2 (Medium),11601 W TOUHY AVE ,IL,60666.0,Canvass,42.00875076599798,-87.9068741340011,Pass
MUSASHI JAPANESE RESTAURANT,Restaurant,Risk 1 (High),6248 N CALIFORNIA AVE ,IL,60659.0,Canvass,41.99539958897028,-87.6997113393183,Pass
RESTAURANT VENENO DE NAYARIT,Restaurant,Risk 1 (High),1024 N ASHLAND AVE ,IL,60622.0,Canvass,41.900452559364034,-87.66756009821934,Fail
CEDARS MEDITHERRANEAN KITCHEN,Restaurant,Risk 1 (High),1206 E 53RD ST ,IL,60615.0,Canvass,41.799569457942816,-87.59631992883017,Pass w/ Conditions
FAMOSA BAKERY,Bakery,Risk 2 (Medium),2747 W 55TH ST ,IL,60632.0,Canvass,41.79359088782101,-87.69322807775377,Pass
MAYNE/ACT ONE CAFE,Restaurant,Risk 2 (Medium),1328-1330 W MORSE AVE ,IL,60626.0,Canvass,42.00803722310377,-87.66489552129833,Pass w/ Conditions
MR.TACO,Restaurant,Risk 1 (High),3330-3332 N BROADWAY ,IL,60657.0,License,41.942717387425816,-87.64463491821648,Fail
FANTASTIC ICE CREAM,Restaurant,Risk 2 (Medium),5904 1/2 W 63RD ST ,IL,60638.0,License,41.77801289800885,-87.76930105997629,Fail
"HABIBI RESTAURANT & CUISINE, INC.",Restaurant,Risk 1 (High),1225-27 W DEVON AVE ,IL,60660.0,Complaint,41.99806606036113,-87.66167833946886,Pass
"R.  MCCARTY ENTERPRISES, INC.",Restaurant,Risk 1 (High),1312 W 111TH ST ,IL,60643.0,Canvass,41.69231345176162,-87.65511685782528,Fail
NORTHSHORE INDUSTRIAL VENDING,Restaurant,Risk 1 (High),565 W ADAMS ST ,IL,60661.0,Canvass,41.87916454484426,-87.64223908958391,Pass
TACARIA SEVEN BROTHERS,Restaurant,Risk 1 (High),3755 S KEDZIE AVE ,IL,60632.0,Canvass,41.8244517773573,-87.70430279705076,Pass
"RAINFOREST LEARNING CENTER, INC.",Daycare Above and Under 2 Years,Risk 1 (High),1325 S STATE ST ,IL,60605.0,Canvass,41.86500783111907,-87.62722405946377,Pass
GREEN MONKEY INC.,Restaurant,Risk 1 (High),1325 S STATE ST ,IL,60605.0,Canvass,41.86500783111907,-87.62722405946377,Pass
COURT HOUSE CITGO,Grocery Store,Risk 3 (Low),3202 W CERMAK RD ,IL,60623.0,Complaint,41.85187305783481,-87.70538678385981,Fail
POT PAN RESTAURANT,Restaurant,Risk 1 (High),1362 N MILWAUKEE AVE ,IL,60622.0,Suspected Food Poisoning,41.90646718175949,-87.67157369153819,Pass
CHINA FAN,Restaurant,Risk 1 (High),7042 S STONY ISLAND AVE ,IL,60649.0,Complaint,41.76666398033737,-87.58649109911461,Pass
HOMIES KITCHEN,Restaurant,Risk 2 (Medium),6859 S LOOMIS BLVD ,IL,60636.0,Short Form Complaint,41.76871573470448,-87.65892185598541,Pass w/ Conditions
LASCHET'S INN,Restaurant,Risk 1 (High),2119 W IRVING PARK RD ,IL,60618.0,Suspected Food Poisoning,41.95399791986407,-87.6820624218905,Pass w/ Conditions
ALDI INC #58,Grocery Store,Risk 3 (Low),2431 W MONTROSE AVE ,IL,60618.0,Canvass,41.96119409863679,-87.68996697040056,Pass
MULLER MEATS,Grocery Store,Risk 2 (Medium),2439 W PETERSON AVE ,IL,60659.0,Canvass Re-Inspection,41.99038076366031,-87.69125603349892,Pass
MACARONI GRILL,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,IL,60666.0,Canvass,42.00875076599798,-87.9068741340011,Fail
LITTLE CAESAR'S,Restaurant,Risk 2 (Medium),3135 W ADDISON ST ,IL,60618.0,Complaint,41.94652905053672,-87.7068127131258,Pass w/ Conditions
CORNER BAKERY CAFE,Restaurant,Risk 1 (High),500 W MADISON ST ,IL,60661.0,Tag Removal,41.88199433820508,-87.6397586848809,Pass
ONE STOP FOOD & LIQUOR STORE,Grocery Store,Risk 2 (Medium),4301-4323 S LAKE PARK AVE ,IL,60653.0,Short Form Complaint,41.816865148052045,-87.59868884416672,Pass w/ Conditions
SILVER SPOON RESTAURANT,Restaurant,Risk 1 (High),710 N RUSH ST ,IL,60611.0,Canvass,41.89532082029217,-87.62562009892783,Fail
"Hermitage Food & Tobacco , Inc.",Grocery Store,Risk 2 (Medium),6501 S HERMITAGE AVE ,IL,60636.0,Canvass,41.77569609829616,-87.66764484483093,Fail
SNACK SHACK & WIRELESS,Grocery Store,Risk 2 (Medium),1445 W 63RD ST ,IL,60636.0,License,41.77940825489512,-87.66113282048039,Fail
7-ELEVEN,Grocery Store,Risk 2 (Medium),550 W WASHINGTON BLVD ,IL,60661.0,Canvass,41.8832856181356,-87.64174676077214,Fail
SUBWAY,Restaurant,Risk 2 (Medium),2008 N HALSTED ST ,IL,60614.0,Canvass,41.91849213778706,-87.64866909416301,Fail
HOT SPOT,Restaurant,Risk 2 (Medium),10857 S HALSTED ST ,IL,60628.0,License,41.69620076046872,-87.64235277732084,Fail
TAQUERIA EL PALMAR,Restaurant,Risk 1 (High),1008 1/2 W IRVING PARK RD ,IL,60613.0,Complaint,41.95459185074589,-87.65496414310472,Pass w/ Conditions
DOMINICK'S,Grocery Store,Risk 1 (High),6623 N DAMEN AVE ,IL,60645.0,Complaint,42.002223375062094,-87.68012882798132,Pass
ROSCOE'S TAVERN LTD,Restaurant,Risk 1 (High),3354-3356 N HALSTED ST ,IL,60657.0,Complaint,41.943442911722,-87.64951705356305,Pass w/ Conditions
BELLA LUNA CAFE,Restaurant,Risk 1 (High),731 N DEARBORN ST ,IL,60610.0,Canvass,41.89577351496085,-87.62961054088531,Pass w/ Conditions
"LEONA'S PIZZERIA, INC.",Restaurant,Risk 1 (High),1236 E 53RD ST ,IL,60615.0,Short Form Complaint,41.7995820117793,-87.59510894342812,Pass
SARPINOS PIZZERIA,Restaurant,Risk 1 (High),158 W DIVISION ST ,IL,60610.0,Canvass,41.90397455193192,-87.6337435603039,Fail
CHARLIE'S FRESH MART,Grocery Store,Risk 1 (High),156 W 95TH ST ,IL,60628.0,Complaint,41.72177085428879,-87.62852063821676,Pass w/ Conditions
K BUENA,Grocery Store,Risk 1 (High),4322-4324 W MARQUETTE RD ,IL,60629.0,Canvass Re-Inspection,41.771383319839934,-87.7309533689407,Pass
"BUTCH MC GUIRE'S, INC.",Restaurant,Risk 1 (High),20 W DIVISION ST ,IL,60610.0,Canvass,41.90403823021623,-87.62950232369501,Fail
BIG-RED'S-YO-JOE'S,Restaurant,Risk 2 (Medium),6401 W ADDISON ST ,IL,60634.0,Canvass Re-Inspection,41.94555292295917,-87.78636821200944,Pass
STARBUCKS COFFEE #2370,Restaurant,Risk 2 (Medium),1602 N Wells ST ,IL,60614.0,Recent Inspection,41.91125520897576,-87.63486072587239,Pass
COMMONWEALTH DAYCARE CENTER,Daycare (2 - 6 Years),Risk 1 (High),140 W 81ST ST ,IL,60620.0,Canvass Re-Inspection,41.747342384844224,-87.62852601416522,Pass
PAYLESS FOOD & TOBACCO,Grocery Store,Risk 2 (Medium),7400 S ASHLAND AVE ,IL,60636.0,Canvass Re-Inspection,41.75936839646028,-87.66378571586739,Pass w/ Conditions
HARVESTIME FOODS,Grocery Store,Risk 1 (High),2632 W LAWRENCE AVE ,IL,60625.0,Short Form Complaint,41.9686702258988,-87.69516274750163,Pass
TAI WAH GROCERY,Grocery Store,Risk 1 (High),2226 S WENTWORTH AVE ,IL,60616.0,Complaint,41.85212719772204,-87.6321439956803,Pass w/ Conditions
CHIPS FOOD & LIQUOR MART,Grocery Store,Risk 3 (Low),3700  -3704 W 55TH ST ,IL,60632.0,Canvass,41.793421958324494,-87.71587465174734,Pass
OYSY,Restaurant,Risk 1 (High),888 S MICHIGAN AVE ,IL,60605.0,Canvass Re-Inspection,41.87077548860578,-87.62429270294257,Pass
LUKE'S BEEF & PIZZA,Restaurant,Risk 1 (High),3130 N HARLEM AVE ,IL,60634.0,Canvass Re-Inspection,41.937289633353735,-87.80687098480557,Pass
DANNY'S PIZZA,Restaurant,Risk 1 (High),6021 S ARCHER AVE ,IL,60638.0,Canvass,41.79484995804762,-87.76728035628868,Pass
MOODY'S RESTAURANT INC,Restaurant,Risk 1 (High),5908 N BROADWAY ,IL,60660.0,Canvass,41.98933359616522,-87.6603946130645,Fail
ZALESKI & HORVATH MARKETCAFE,Restaurant,Risk 1 (High),1126 E 47TH ST ,IL,60653.0,Short Form Complaint,41.80973695200191,-87.59816456289612,Pass
