modified Zurich class,largest spot size,spot distribution,activity,evolution,previous 24 hour flare activity,historically-complex,became complex on this pass,area,area of largest spot,moderate flares,severe flares,common flares
H,S,X,2,2,1,1,1,1,1,0,0,1
C,A,I,2,3,1,2,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
D,R,I,1,3,1,2,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
F,A,I,1,1,1,2,2,1,1,0,0,0
H,R,X,1,1,1,2,2,1,1,0,0,0
H,S,X,2,3,1,2,2,1,1,0,0,0
E,S,I,2,2,1,2,2,1,1,0,0,3
H,S,X,1,3,1,1,1,1,1,0,0,0
D,R,I,1,2,1,2,2,1,1,0,0,0
H,R,X,1,2,1,2,1,1,1,0,0,0
D,A,O,1,2,1,2,2,1,1,0,0,0
H,R,X,1,1,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
H,S,X,1,2,1,2,2,1,1,0,0,0
E,S,I,2,2,1,2,2,1,1,0,0,0
C,S,O,2,2,1,1,2,1,1,0,0,0
C,R,O,1,1,1,2,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,2,2,1,1,0,0,0
D,A,I,2,2,1,2,2,1,1,0,0,1
H,S,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
D,S,O,2,3,1,2,2,1,1,0,0,0
D,H,O,1,3,1,1,2,1,1,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,2,1,1,0,0,0
D,A,I,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,R,X,1,2,1,2,1,1,1,0,0,0
C,S,O,1,3,1,2,2,1,1,0,0,0
C,S,I,1,3,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,2,1,1,0,0,0
D,A,O,1,3,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,R,X,1,3,1,2,1,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,2,1,2,2,1,1,0,0,1
C,S,O,1,2,1,1,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,1,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,1
D,A,I,1,3,1,2,2,1,1,0,0,1
H,S,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,2,1,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,1
C,S,O,1,3,1,2,2,1,1,1,0,2
H,S,X,1,3,1,1,2,1,1,0,0,1
C,R,O,1,2,1,1,2,1,1,0,0,0
D,S,O,1,3,1,1,2,1,1,0,0,0
H,S,X,2,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
D,A,O,1,2,1,2,2,1,1,0,0,1
H,S,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
D,S,I,1,3,1,1,2,1,1,0,0,0
D,A,I,2,2,1,2,2,1,1,0,0,1
F,S,O,2,2,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
C,R,I,1,2,1,1,2,1,1,0,0,2
H,S,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
D,A,O,1,3,1,2,2,1,1,0,0,0
D,A,I,2,2,1,2,2,1,1,0,0,2
D,S,O,2,2,3,2,2,1,1,0,0,0
F,H,O,1,2,1,1,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
D,R,I,1,3,1,1,2,1,1,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
D,S,O,1,3,1,1,2,1,1,0,0,0
D,S,I,1,1,1,2,2,1,1,0,0,0
C,R,I,1,2,1,2,2,1,1,0,0,1
C,S,O,1,3,1,1,2,1,1,0,0,0
B,X,I,2,2,1,2,2,1,1,0,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,S,I,1,3,1,1,2,1,1,0,0,0
H,R,X,2,1,1,2,2,1,1,0,0,0
C,S,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
B,X,I,1,2,1,2,2,1,1,0,0,1
C,S,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,A,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,S,O,2,2,1,2,2,1,1,0,0,0
C,S,I,1,3,1,1,2,1,1,0,0,0
C,R,O,1,2,1,2,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
D,A,I,1,2,1,1,2,1,1,0,0,0
E,A,I,1,3,1,1,2,1,1,0,0,0
H,R,X,1,3,1,1,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,1,1,2,2,1,1,0,0,0
D,S,O,1,2,1,1,2,1,1,0,0,0
C,S,O,2,3,1,2,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
D,A,O,1,2,1,2,2,1,1,0,0,0
F,S,I,1,3,1,2,2,1,1,0,0,2
D,A,I,1,2,1,1,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,1,2,1,1,0,0,1
E,S,O,1,3,1,1,2,1,1,0,0,6
H,S,X,1,2,1,2,2,1,1,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,1,1,1,2,1,1,0,0,0
C,S,O,1,3,1,2,2,1,1,0,0,0
F,S,I,1,3,1,2,2,1,1,0,0,1
D,R,O,1,2,1,2,2,1,1,0,0,0
D,A,I,2,3,1,2,2,1,1,0,0,0
D,R,C,2,3,1,1,2,1,1,0,0,1
H,K,X,1,3,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,A,X,1,1,1,2,2,1,1,0,0,0
F,S,I,2,2,1,2,2,1,1,0,0,0
B,X,O,1,2,1,2,2,1,1,0,0,0
D,S,I,1,2,1,2,2,1,1,0,0,0
E,H,C,2,3,1,2,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
C,H,O,1,3,1,2,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
H,R,X,1,3,1,2,2,1,1,0,0,0
F,R,I,1,2,1,2,2,1,1,0,0,1
H,S,X,1,1,1,2,2,1,1,0,0,0
D,A,I,1,3,1,2,2,1,1,0,0,1
E,K,I,2,3,1,2,2,2,1,0,0,1
F,H,O,1,2,1,2,2,1,1,0,0,1
B,X,O,1,3,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,2,1,2,2,1,1,0,0,0
D,A,I,1,2,1,2,2,1,1,0,0,1
F,K,I,1,2,1,2,2,1,1,0,0,1
E,H,O,2,2,1,2,2,1,1,0,0,1
B,X,I,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,1,1,2,2,1,1,0,0,0
D,S,I,2,2,1,2,2,1,1,0,0,1
E,K,I,2,2,1,2,2,1,1,0,0,2
F,H,O,1,3,1,2,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,3,1,2,2,1,1,0,0,0
H,R,X,1,1,1,2,2,1,1,0,0,0
B,X,I,1,1,1,2,2,1,1,0,0,0
F,K,I,1,2,1,2,2,1,1,0,0,4
D,H,I,2,3,1,2,2,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,2,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,R,X,1,3,1,2,2,1,1,0,0,0
F,A,I,2,3,1,2,2,2,1,1,0,1
E,H,I,1,3,1,2,2,1,1,1,0,1
H,S,X,1,2,1,2,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,R,X,1,3,1,2,2,1,1,0,0,0
F,A,I,2,3,1,2,2,1,1,0,0,0
E,H,I,1,3,1,2,2,1,1,0,0,3
H,S,X,1,3,1,2,2,1,1,0,0,0
H,R,X,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
F,A,I,2,2,3,2,2,1,1,0,0,0
E,H,O,2,2,2,2,2,1,1,0,0,0
H,S,X,1,2,1,2,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
C,S,I,1,3,1,1,2,1,1,0,0,0
F,A,I,1,2,1,2,2,1,1,0,0,1
E,H,O,2,2,1,2,2,1,1,0,0,1
H,S,X,1,3,1,2,2,1,1,0,0,0
H,R,X,1,3,1,1,2,1,1,0,0,0
D,S,I,1,3,1,1,2,1,1,0,0,0
F,A,I,1,2,1,2,2,1,1,0,0,0
E,A,O,1,2,1,2,2,1,1,0,0,1
H,S,X,1,3,1,2,2,1,1,0,0,0
D,S,I,1,3,1,2,2,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
F,A,I,2,2,1,2,2,1,1,0,0,1
H,S,X,1,3,1,2,2,1,1,0,0,0
D,A,O,1,3,1,2,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
B,X,I,1,3,1,1,2,1,1,0,0,0
E,S,O,1,1,1,2,2,1,1,0,0,0
D,A,I,1,3,1,2,2,1,1,0,0,0
H,R,X,1,3,1,1,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
H,R,X,2,2,1,2,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,2,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
B,X,I,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,A,X,1,2,1,1,2,1,1,0,0,0
C,A,O,1,2,1,2,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,I,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,2,1,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
H,A,X,1,3,1,1,2,1,1,0,0,0
E,A,O,1,3,1,2,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
C,A,O,1,2,1,2,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
H,R,X,1,1,1,1,2,1,1,0,0,1
H,S,X,1,1,1,1,2,1,1,0,0,0
C,S,I,1,3,1,1,2,1,1,0,0,1
H,A,X,1,3,1,2,1,1,1,0,0,0
B,X,I,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
B,X,O,2,2,1,2,2,1,1,0,0,2
C,S,O,1,2,1,1,2,1,1,0,0,0
C,A,O,1,3,1,2,2,1,1,0,0,0
B,X,O,2,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,S,O,2,2,1,1,2,1,1,0,0,0
H,A,X,1,2,1,2,2,1,1,0,0,0
B,X,O,1,1,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
H,A,X,1,2,1,2,2,1,1,0,0,0
H,H,X,1,3,1,1,2,1,1,0,0,0
B,X,O,1,1,1,1,2,1,1,0,0,0
H,R,X,1,1,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,1
C,R,O,1,3,1,1,2,1,1,0,0,0
H,A,X,1,3,1,2,2,1,1,0,0,0
H,H,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,1
C,R,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,1,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
C,S,O,2,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,1
C,S,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
C,S,O,2,3,1,1,2,1,1,0,0,0
B,X,O,2,3,1,1,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,A,X,1,3,1,1,1,1,1,0,0,0
H,A,X,1,3,1,1,1,1,1,0,0,0
H,A,X,1,2,1,1,1,1,1,0,0,0
H,A,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,2,2,1,1,0,0,2
H,S,X,1,2,1,1,2,1,1,0,0,0
D,R,O,1,2,1,1,2,1,1,0,0,1
D,A,I,1,3,1,1,2,1,1,1,0,0
C,A,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,2,2,1,1,0,0,3
H,S,X,1,2,1,1,2,1,1,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,2,2,1,1,1,0,0
C,A,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,2
D,H,O,1,3,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
C,R,O,2,2,1,1,2,1,1,0,0,0
D,S,O,2,2,2,2,2,1,1,1,0,1
C,R,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,3
F,A,I,1,3,1,1,2,1,1,0,0,0
E,S,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
D,R,O,1,2,1,1,2,1,1,0,0,0
C,S,O,2,2,3,2,2,1,1,0,0,0
H,S,X,1,1,1,1,2,1,1,0,0,0
D,S,O,1,1,1,1,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
D,A,I,2,3,1,1,2,1,1,0,0,3
C,A,O,1,3,1,2,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,1,2,2,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
D,K,I,2,3,1,2,2,1,1,0,0,2
E,A,I,1,3,1,2,2,1,1,0,0,3
H,S,X,1,2,1,2,1,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,2,2,1,1,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,0
D,K,I,2,3,1,2,2,1,1,0,0,0
E,A,I,1,2,1,2,2,1,1,0,0,0
H,S,X,1,3,1,2,1,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,1
H,S,X,1,2,1,1,2,1,1,0,0,0
H,R,X,1,1,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,2,1,1,0,0,0
H,S,X,1,1,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
D,A,I,2,2,1,2,2,1,1,0,0,1
D,S,I,2,3,1,2,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
D,S,O,1,3,1,1,2,1,1,2,0,2
H,S,X,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,1,1,1,2,1,1,0,0,0
D,S,O,1,2,1,2,2,1,1,0,0,3
D,S,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
D,S,O,1,3,1,1,2,1,1,0,0,0
E,S,O,2,3,3,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
D,K,I,2,2,1,2,2,1,1,0,0,3
C,S,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,3,1,2,1,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,1,2,1,1,0,0,1
C,S,O,2,2,2,1,2,1,1,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
D,K,I,2,2,1,2,2,1,1,0,0,0
C,S,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,3,1,2,1,1,1,0,0,0
B,X,O,1,1,1,1,2,1,1,0,0,0
D,A,I,1,3,1,2,2,1,1,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
E,A,O,1,2,1,2,2,1,1,1,0,0
C,S,O,1,1,1,2,2,1,1,0,0,0
H,S,X,1,3,1,2,1,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
E,A,C,2,2,1,2,2,1,1,0,0,0
D,A,I,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,1,2,1,1,0,0,0
E,S,I,1,3,1,1,2,1,1,0,0,0
D,S,I,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
C,A,O,2,2,3,2,2,1,1,0,0,0
C,S,O,1,3,1,2,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
H,R,X,1,3,1,1,2,1,1,0,0,0
E,A,I,1,2,1,2,2,1,1,0,0,0
D,K,I,1,3,1,2,2,1,1,0,0,1
D,A,O,1,3,1,2,2,1,1,0,0,0
E,K,I,1,3,1,2,2,2,1,0,0,0
D,K,I,1,3,1,2,2,1,1,0,0,0
H,R,X,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
C,A,O,1,2,1,2,2,1,1,0,0,0
C,S,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,3,1,2,1,1,1,0,0,0
D,K,I,2,2,1,2,2,1,1,0,0,0
B,X,O,1,2,1,2,2,1,1,0,0,0
E,K,I,1,2,1,2,2,1,1,0,0,1
D,K,I,1,3,1,2,2,1,1,0,0,1
H,R,X,1,3,1,1,2,1,1,0,0,1
H,S,X,1,3,1,1,1,1,1,0,0,0
H,S,X,1,1,1,2,2,1,1,0,0,0
H,S,X,1,3,1,2,1,1,1,0,0,0
D,A,I,1,2,1,2,2,1,1,0,0,0
F,K,C,1,2,1,2,2,2,1,1,1,0
E,K,C,2,3,1,2,2,2,1,0,0,0
D,A,I,1,3,1,1,2,1,1,2,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
D,A,I,1,2,1,2,2,1,1,0,0,1
E,K,C,2,2,3,2,2,2,1,0,0,0
F,K,C,1,3,1,2,2,2,1,0,0,0
D,K,C,2,3,1,2,2,2,1,3,2,1
C,S,I,1,2,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
D,A,I,1,3,1,1,2,1,1,0,0,0
D,S,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
D,S,O,1,1,1,2,2,1,1,0,0,0
E,K,C,2,3,3,2,2,2,1,0,1,1
F,K,I,1,2,1,2,2,2,1,0,0,0
E,K,C,2,3,3,2,2,2,1,5,1,0
C,R,I,1,2,1,1,2,1,1,0,0,0
B,S,O,1,3,1,1,2,1,1,0,0,0
D,A,O,1,3,1,2,2,1,1,0,0,1
C,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
H,S,X,2,2,1,2,2,1,1,0,0,0
E,K,C,2,2,3,2,2,2,1,2,0,2
E,K,I,1,3,1,2,2,2,1,0,0,1
E,K,C,2,2,3,2,2,2,1,0,0,0
B,S,O,1,2,1,1,2,1,1,0,0,0
E,A,I,1,3,1,2,2,1,1,0,0,0
D,R,I,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,2,2,1,1,0,0,0
E,K,C,2,2,2,2,2,2,1,0,0,4
E,A,I,1,2,1,2,2,1,1,0,0,3
H,S,X,1,2,1,1,2,1,1,0,0,0
E,A,O,2,2,1,2,2,1,1,0,0,0
D,R,I,1,3,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,2,1,1,0,0,0
D,S,O,1,3,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
E,K,C,2,2,2,2,2,2,1,0,0,0
F,S,I,2,2,1,2,2,1,1,0,0,2
D,S,I,1,3,1,1,2,1,1,0,0,1
H,S,X,1,3,1,1,2,1,1,0,0,0
D,S,O,1,3,1,2,2,1,1,0,0,0
D,A,I,1,2,1,2,2,1,1,0,0,0
H,A,X,1,3,1,1,1,1,1,0,0,0
D,S,O,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,2,1,1,1,0,0,0
E,K,C,2,3,1,2,2,2,1,1,0,2
F,A,I,2,2,1,2,2,1,1,0,0,0
C,S,O,1,2,1,2,2,1,1,0,0,0
D,A,I,1,2,1,2,2,1,1,0,0,0
H,A,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
D,A,O,1,3,1,1,2,1,1,0,0,0
D,H,O,1,3,1,2,2,1,1,0,0,0
D,S,O,1,3,1,1,2,1,1,1,0,2
E,K,C,2,2,1,2,2,1,1,0,0,0
F,A,I,1,2,1,2,2,1,1,0,0,0
C,S,O,1,2,1,2,2,1,1,0,0,0
D,A,I,1,1,1,2,2,1,1,1,0,1
H,A,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,A,O,1,2,1,1,2,1,1,0,0,0
D,H,O,1,3,1,2,2,1,1,0,0,0
D,S,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,1,1,2,2,1,1,0,0,0
F,S,I,1,3,1,2,2,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
B,X,I,1,2,1,1,2,1,1,0,0,0
D,H,O,1,2,1,2,2,1,1,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
D,A,I,2,3,2,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,1
C,R,O,1,2,1,1,2,1,1,0,0,0
D,H,O,1,2,1,2,2,1,1,0,0,0
C,S,O,1,2,1,1,2,1,1,0,0,0
E,A,I,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,1
C,S,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
D,S,O,1,3,1,2,2,1,1,0,0,0
B,X,O,1,1,1,1,2,1,1,0,0,0
E,A,O,1,2,1,2,2,1,1,1,0,4
H,S,X,1,3,1,1,1,1,1,0,0,1
H,S,X,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,1
D,H,O,1,3,1,2,2,1,1,0,0,0
E,A,I,2,2,1,2,2,1,1,0,0,0
D,S,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,1,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,1
D,S,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,2,2,2,1,1,0,0,0
H,S,X,2,2,1,1,2,1,1,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,2,2,1,1,2,1,1,0,0,0
C,S,O,1,2,1,2,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,1,1,1,2,1,1,0,0,0
